fioriId;RoleName;AppName;ApplicationType;App Launcher Title - Subtitle;Lighthouse;UITechnology;PrimaryODataServiceName;PrimaryODataServiceVersion;AdditionalODataServices;AdditionalODataServicesVersions;Link;Column1
F2203;Settlement Clerk;Schedule Contract Settlement - Supplier Contracts;Transactional;Schedule Contract Settlement, Schedule Contract Settlement;;SAP Fiori: Generic Job Scheduling Framework;APJ_JOB_MANAGEMENT_SRV;1;;;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F2203;
F2204;Settlement Clerk;Schedule Accruals Reversal - Supplier Contracts;Transactional;Schedule Accruals Reversal - Obsolete Contracts, Schedule Accruals Reversal - Obsolete Contracts;;SAP Fiori: Generic Job Scheduling Framework;APJ_JOB_MANAGEMENT_SRV;1;;;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F2204;
F2206;Billing Clerk;Verify Service Nota Fiscal;Transactional;Verify Service Nota Fiscal - Brazil;;SAP Fiori elements;C_BR_VERIFYNFS_CDS;1;;;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F2206;
F2207;Billing Clerk;Verify CT-e;Transactional;Verify CT-e - Brazil;;SAP Fiori elements;C_BR_VERIFYCTE_CDS;1;;;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F2207;
F2208;Accounts Payable and Receivable Manager (FI-CA);Analyze Collections Volume;Transactional, Analytical;Analyze Collection Volume (Deprecated);;SAP Fiori (SAPUI5);O2C_FICA_DUNNING_VOLUME;1;O2C_FICA_GENTOOLS;0001;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F2208;
F2208A;Accounts Payable and Receivable Manager (FI-CA);Analyze Collection Volume (Version 2);Transactional, Analytical;Analyze Collections Volume;;SAP Fiori elements;UI_CACOLLVOLUME_ANALYSIS;1;;;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F2208A;
F2209;Accounts Payable and Receivable Manager (FI-CA);Analyze Collections Success;Transactional, Analytical;Analyze Collection Success (Deprecated);;SAP Fiori (SAPUI5);O2C_FICA_DUNNING_SUCCESS;1;O2C_FICA_GENTOOLS;0001;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F2209;
F2209A;Accounts Payable and Receivable Manager (FI-CA);Analyze Collection Success (Version 2);Transactional, Analytical;Analyze Collections Success;;SAP Fiori elements;C_CACOLLECTIONSUCCESSQUERY_CDS;1;UI_CASYSTEM_SETTING_V2;0001;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F2209A;
F2210;Recipe Developer;Manage Recipes;Transactional;Manage Recipes;;SAP Fiori elements;PLMI_RECIPE_MANAGE;1;;;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F2210;
F2211;Recipe Developer;Manage Label Sets;Transactional;Manage Label Sets;;SAP Fiori elements;PLMI_LABEL_MANAGE;1;;;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F2211;
F2212;Development Manager - Discrete Industries;Manage Change Masters;Transactional;Manage Change Masters;;SAP Fiori elements;PLMI_CHANGEMASTER_MANAGE;1;;;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F2212;
F2213;Recipe Developer;Manage Specifications;Transactional;Manage Specifications;;SAP Fiori elements;PLMI_SPECIFICATION_MANAGE;1;;;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F2213;
F2214;BOM Engineer;Material Where Used List for BOMs;Transactional;Material where used list in BOMs - where used list;;SAP Fiori elements;BOMWHEREUSED_SRV;1;;;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F2214;
F2215;Other;Reuse Component ATP Interactive Chart;Reuse Component;;;SAP Fiori (SAPUI5);;;;;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F2215;
